ID;Name;Bankengruppe;Assets;Liabilities
AT:Austria;AT:Austria;Euro Area;8480,664;93126,082
AU:Australia;AU:Australia;Asia & Pacific;2569,038;259508,226
BE:Belgium;BE:Belgium;Euro Area;5124,967;235899,376
BR:Brazil;BR:Brazil;Developing countries;0;0
CA:Canada;CA:Canada;America;1010,75;322135,74
CH:Switzerland;CH:Switzerland;Other Europe;9576,798;234670,384
CL:Chile;CL:Chile;Developing countries;61,374;0
DE:Germany;DE:Germany;Euro Area;0;884277,384
DK:Denmark;DK:Denmark;Other Europe;5278,573;72699,698
ES:Spain;ES:Spain;Euro Area;8415,547;301040,774
FI:Finland;FI:Finland;Euro Area;2444,995;92271,924
FR:France;FR:France;Euro Area;72736;854605,042
GB:United Kingdom;GB:United Kingdom;Other Europe;89005;2030986,916
GG:Guernsey;GG:Guernsey;Offshore;598,604;0
GR:Greece;GR:Greece;Euro Area;2378;28762,294
HK:Hong Kong SAR;HK:Hong Kong SAR;Offshore;21831,85;0
IE:Ireland;IE:Ireland;Euro Area;11089,364;501350,638
IM:Isle of Man;IM:Isle of Man;Offshore;174,927;0
IT:Italy;IT:Italy;Euro Area;4098,12;373519,95
JE:Jersey;JE:Jersey;Offshore;431;0
JP:Japan;JP:Japan;Asia & Pacific;118594,669;879998,29
KR:South Korea;KR:South Korea;Asia & Pacific;4564,221;0
LU:Luxembourg;LU:Luxembourg;Euro Area;16374,582;967062,736
MO:Macao SAR;MO:Macao SAR;Offshore;186,598;0
MX:Mexico;MX:Mexico;Developing countries;0,804;0
NL:Netherlands;NL:Netherlands;Euro Area;47763,499;823032,918
PH:Philippines;PH:Philippines;Developing countries;0;0
SE:Sweden;SE:Sweden;Other Europe;3553,211;145072,408
TW:Chinese Taipei;TW:Chinese Taipei;Asia & Pacific;3010,225;0
US:United States;US:United States;America;106381;4557527,736
ZA:South Africa;ZA:South Africa;Developing countries;806;0
AD:Andorra;AD:Andorra;Euro Area;0;2120,986
CY:Cyprus;CY:Cyprus;Euro Area;0;38746,048
EE:Estonia;EE:Estonia;Euro Area;0;1745,592
FO:Faeroe Islands;FO:Faeroe Islands;Other Europe;0;1339,19
GL:Greenland;GL:Greenland;America;0;1357,486
IS:Iceland;IS:Iceland;Other Europe;0;4682,334
LI:Liechtenstein;LI:Liechtenstein;Other Europe;0;2243,26
MT:Malta;MT:Malta;Euro Area;0;13447,428
NO:Norway;NO:Norway;Other Europe;0;95426,79
NZ:New Zealand;NZ:New Zealand;Asia & Pacific;0;28686,384
PT:Portugal;PT:Portugal;Euro Area;0;79469,174
SI:Slovenia;SI:Slovenia;Euro Area;0;9695,4
SK:Slovakia;SK:Slovakia;Euro Area;0;16587,454
SM:San Marino;SM:San Marino;Euro Area;0;628,136
VA:Vatican City State;VA:Vatican City State;Euro Area;0;589,194
