ID;Name;Bankengruppe;AssetsBanks;LiabilitiesNon-Banks
AT:Austria;AT:Austria;Euro Area;6987,912;49201,94
AU:Australia;AU:Australia;Asia & Pacific;2800,254;145302,63
BE:Belgium;BE:Belgium;Euro Area;4986,248;113084,186
BR:Brazil;BR:Brazil;Developing countries;0;0
CA:Canada;CA:Canada;America;2352,45;173436,889
CH:Switzerland;CH:Switzerland;Other Europe;11439,181;117084,866
CL:Chile;CL:Chile;Developing countries;0,496;0
DE:Germany;DE:Germany;Euro Area;0;409947,355
DK:Denmark;DK:Denmark;Other Europe;4851,58;49884,128
ES:Spain;ES:Spain;Euro Area;6810,737;161205,365
FI:Finland;FI:Finland;Euro Area;1056,939;48485,432
FR:France;FR:France;Euro Area;75598;424007,084
GB:United Kingdom;GB:United Kingdom;Other Europe;93688;1035536,813
GG:Guernsey;GG:Guernsey;Offshore;603,732;0
GR:Greece;GR:Greece;Euro Area;2019;13608,75
HK:Hong Kong SAR;HK:Hong Kong SAR;Offshore;25280,922;0
IE:Ireland;IE:Ireland;Euro Area;9556,297;262889,845
IM:Isle of Man;IM:Isle of Man;Offshore;125,692;0
IT:Italy;IT:Italy;Euro Area;4351,346;188471,303
JE:Jersey;JE:Jersey;Offshore;445;0
JP:Japan;JP:Japan;Asia & Pacific;131011,81;400028,051
KR:South Korea;KR:South Korea;Asia & Pacific;5632,082;0
LU:Luxembourg;LU:Luxembourg;Euro Area;15769,078;491835,751
MO:Macao SAR;MO:Macao SAR;Offshore;418,129;0
MX:Mexico;MX:Mexico;Developing countries;23,953;0
NL:Netherlands;NL:Netherlands;Euro Area;42669,245;388662,61
PH:Philippines;PH:Philippines;Developing countries;63,399;0
SE:Sweden;SE:Sweden;Other Europe;3574,349;62798,94
TW:Chinese Taipei;TW:Chinese Taipei;Asia & Pacific;3032,232;0
US:United States;US:United States;America;113840;2360273,24
ZA:South Africa;ZA:South Africa;Developing countries;756;0
AD:Andorra;AD:Andorra;Euro Area;0;962,878
CY:Cyprus;CY:Cyprus;Euro Area;0;19872,614
EE:Estonia;EE:Estonia;Euro Area;0;1942,523
FO:Faeroe Islands;FO:Faeroe Islands;Other Europe;0;496,5
GL:Greenland;GL:Greenland;America;0;695,641
IS:Iceland;IS:Iceland;Other Europe;0;922,791
LI:Liechtenstein;LI:Liechtenstein;Other Europe;0;1084,698
MT:Malta;MT:Malta;Euro Area;0;7140,415
NO:Norway;NO:Norway;Other Europe;0;45644,885
NZ:New Zealand;NZ:New Zealand;Asia & Pacific;0;15926,861
PT:Portugal;PT:Portugal;Euro Area;0;34548,375
SI:Slovenia;SI:Slovenia;Euro Area;0;4878,989
SK:Slovakia;SK:Slovakia;Euro Area;0;8517,634
SM:San Marino;SM:San Marino;Euro Area;0;179,78
VA:Vatican City State;VA:Vatican City State;Euro Area;0;329,029
