ID;_AD:Andorra;_AU:Australia;_BE:Belgium;_CA:Canada;_CH:Switzerland;_CY:Cyprus;_DE:Germany;_DK:Denmark;_EE:Estonia;_ES:Spain;_FI:Finland;_FO:Faeroe Islands;_FR:France;_GB:United Kingdom;_GL:Greenland;_GR:Greece;_IE:Ireland;_IS:Iceland;_IT:Italy;_JP:Japan;_LI:Liechtenstein;_LU:Luxembourg;_MT:Malta;_NL:Netherlands;_NO:Norway;_NZ:New Zealand;_PT:Portugal;_SE:Sweden;_SI:Slovenia;_SK:Slovakia;_SM:San Marino;_US:United States;_AT:Austria;_VA:Vatican City State
AT:Austria;8,194;79,705;1955,831;607,762;4102,743;1726,429;23961,827;290,064;14,625;5904,156;978,411;0;4514,936;7530,509;0;82,225;2573,713;4,607;6399,321;23,849;311,288;5835,901;452,193;5247,245;228,053;7,045;545,041;583,465;2616,239;4475,099;0,042;7284,045;0;0,001
AU:Australia;1,292;0;82,003;1669,38;813,403;2,96;1281,369;37,836;0,401;69,898;17,233;0;1210,994;74750,011;0;9,687;3849,832;0,014;12,458;6394,848;0;551,427;3,93;1606,702;474,378;5412,261;2,752;220,184;1,909;0,006;0;24910,164;22,131;0,005
BE:Belgium;0,252;1023,594;0;954,916;2777,925;368,28;8690,283;881,039;3,36;6930,219;738,159;0;16942,219;94930,34;0,444;235,6;13243,837;58,095;7174,709;1770,836;13,988;17441,418;109,034;26772,213;1285,913;1,779;528,765;1327,866;95,364;831,411;0,04;14402,511;1810,027;0,141
BR:Brazil;0;0;0;0;0;0;0;167;0;863;0;0;0;0;0;0;0;0;0;0;0;1513;0;70;0;0;0;0;0;0;0;954;50;0
CA:Canada;0;0;375,058;0;634,711;0,981;6854,037;0;0;0;208,811;0;3520,147;8633,797;0;0,653;5663,334;0,102;34,849;9447,321;0;8988,503;0;1277,57;1703,415;0;0;292,151;0;0;0;170254,539;0;0
CH:Switzerland;110,584;838,896;1905,81;3298,254;0;3423,254;17540,938;983,231;43,278;2450,747;895,092;0;19828,588;19559,662;0;1383,672;2466,696;15,117;3289,848;2135,108;0;10321,083;1238,16;7684,635;776,068;743,182;550,408;2707,787;70,73;237,979;150,232;82623,59;2826,339;293,731
CL:Chile;0;0,005;0,068;0;61,276;0,025;17,341;0;0;0;0;0;0;0,007;0;0;0,293;0;15,033;0;0;0;0;12,037;0;0;0;0;0;0;0;323,223;0;0
DE:Germany;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DK:Denmark;1,906;257,31;2011,319;116,875;2801,746;89,417;4749,041;0;17,441;1895,71;2411,34;580,246;9297,312;10252,363;632,266;60,919;1685,051;39,271;153,665;347,05;38,407;3263,031;18,846;2108,952;2540,517;13,005;112,024;10060,187;48,658;156,968;0,556;4738,738;1193,689;0
ES:Spain;690,816;307,551;2653,948;1099,87;3575,581;87,781;12406,962;169,19;18,245;0;243,784;0;12193,167;33487,712;0;153,142;4914,338;34,227;41283,092;37,245;1,43;6185,39;49,965;23617,926;530,604;21,381;18718,468;415,141;58,182;35,815;0;39970,154;888,321;0
FI:Finland;0;22,731;1782,711;226,08;262,088;151,385;9311,914;0;469,45;123,564;0;0;4569,737;8801,045;0;3,066;254,732;0,106;196,971;35,765;0;4286,047;0,534;3546,262;0;0;51,503;12570,674;2,716;20,004;0;0;700,8;0
FR:France;14;7298;32020;11454;20848;1102;45812;3137;54;39951;5181;6;0;122707;0;577;26064;194;45385;115256;96;82210;1194;53683;8362;300;5979;5013;457;469;0;153624;7726;0
GB:United Kingdom;6;20616;15204;16632;30106;6441;112401;6946;10;23899;11953;19;99090;0;5;9828;107018;1566;16585;110926;442;108069;1083;157382;11176;1146;5857;17679;918;446;0;617177;10513;0
GG:Guernsey;0;115,174;144,353;26,636;242,858;69,583;152,337;0,02;1,364;31,372;92,911;0;684,057;7761,13;0;10,492;189,05;0,058;26,84;197,432;36,263;523,447;42,313;1671,584;192,088;3,57;0,22;53,714;2,936;0;0,004;23979,087;0,008;0
GR:Greece;0;0;49;11;22;2296;147;6;0;68;1;0;51;20863;0;0;530;0;170;0;0;34001;156;1580;0;0;28;10;1;0;0;277;25;0
HK:Hong Kong SAR;199,484;11325,725;297,614;8223,211;1570,084;215,732;9369,31;474,146;1,934;148,162;605,545;0;12257,382;32179,884;0,129;1,418;3013,798;0;72,598;68121,47;4,513;2001,934;211,09;3794,068;944,939;750,741;2,45;825,661;0,129;9,026;1,676;64547,776;135,654;0
IE:Ireland;0;1699,627;4176,786;3076,42;2037,192;99,339;8349,603;302,657;0,008;8017,356;480,715;1,42;7581,785;28331,771;0,002;25,795;0;83,031;16813,431;2390,702;1,497;3448,25;176,101;5520,112;1217,372;52,495;697,76;742,759;61,338;371,279;0;12772,209;1077,695;0,1
IM:Isle of Man;1,376;63,265;5,169;9,596;80,891;14,63;14,867;0,732;0;58,611;15,612;0;32,668;2254,918;0,103;7,187;50,488;0,12;14,64;20,711;0,657;13,945;3,239;24,793;1,801;16,256;3,105;1,581;0;3,308;0,143;575,771;4,136;0,088
IT:Italy;0;70,654;2203,001;211,759;1612,706;0;15446,96;83,166;0;24495,66;216,245;0;17803,288;32220,072;0;310,826;5532,925;0;0;119,372;0;19234,281;206,649;5511,499;539,799;85,422;1870,621;175,002;130,132;0;158,129;18725,862;646,027;0,528
JE:Jersey;0;25;28;34;326;18;190;0;0;22;0;0;431;5292;0;15;60;0;10;28;0;277;21;566;25;5;4;0;0;113;1;1510;4;0
JP:Japan;0;54891,912;14902,618;30784,923;18015,216;0;57253,055;5923,601;0,1;16627,687;3232,531;0;122398,761;99904,992;0;171,381;37725,097;208,514;25342,965;0;0;67908,449;0;48659,66;4023,976;4777,572;401,561;9043,934;133,716;37,123;0;969043,735;3041,074;0
KR:South Korea;0;3168,037;190,528;923,11;18,135;264,411;820,95;15,39;2,777;167,419;13,854;0;629,265;811,23;0,036;329,428;770,476;0,479;301,607;650,998;0;199,415;273,096;345,185;238,866;79,712;131,151;157,153;52,725;562,078;0;11275,185;92,017;0
LU:Luxembourg;24,524;374,739;7302,747;2482,764;5666,076;523,732;48155,551;1151,037;10,791;7518,587;1290,805;0,361;33315,078;12659,46;22,467;436,788;4979,935;21,355;13710,892;2667,064;172,689;0;452,465;15464,486;1145,999;224,364;1938,992;2320,123;114,721;386,106;2,232;24693,07;4595,693;0
